Country,Total investment,"Inflation, average consumer prices","Inflation, end of period consumer prices",Six-month London interbank offered rate (LIBOR),Volume of imports of goods and services,Volume of Imports of goods,Volume of exports of goods and services,Volume of exports of goods,Unemployment rate,Employment,Population,General government revenue,General government total expenditure,General government net lending/borrowing,General government structural balance,General government primary net lending/borrowing,General government net debt,General government gross debt,Current account balance,"Gross domestic product, constant prices"
Switzerland,22.376,102.028,102.060,,-0.932,-1.837,0.681,1.503,2.306,5.093,8.545,239.157,228.830,10.327,9.013,11.324,149.475,295.152,81.183,712.703
Syria,,,,,,,,,,,,,,,,,,,,
Taiwan Province of China,23.301,103.123,102.312,,2.229,2.567,1.331,0.366,3.800,11.501,23.603,"2,931.855","3,267.259",-335.405,-344.956,,"5,833.506","6,189.120",65.141,"19,139.231"
Tajikistan,20.522,"1,527.949","1,085.026",,10.010,9.891,10.034,13.138,,,9.292,21.180,22.804,-1.624,,-0.961,,33.330,-0.185,0.297
Tanzania,39.655,355.830,354.360,,4.688,4.688,8.003,8.003,,,56.322,"20,520.056","22,920.917","-2,400.861",,-46.771,,"53,467.807",-1.390,"123,175.839"
Thailand,23.950,102.648,102.620,,-3.155,-5.564,-1.047,-3.549,1.000,,69.626,"3,530.927","3,668.002",-137.075,-117.801,-46.513,,"6,901.802",38.358,"10,925.078"
Timor-Leste,31.928,100.842,100.700,,,,,,,,1.293,0.914,1.433,-0.519,,-0.517,,0.185,0.133,1.627
Togo,26.290,104.102,103.538,,3.986,4.491,3.814,5.535,,,8.084,746.916,678.661,68.255,,154.116,,"2,266.356",-0.233,"2,434.718"
Tonga,,99.786,99.800,,2.258,0.760,-5.681,-0.298,,,0.100,0.485,0.448,0.037,,0.045,,0.481,-0.025,1.028
Trinidad and Tobago,,124.672,123.269,,-11.664,-6.594,-15.585,-16.747,,,1.395,42.622,48.617,-5.995,,-2.057,-2.387,73.261,1.168,156.007
Tunisia,16.384,124.977,128.342,,-8.566,-8.566,-5.056,-5.056,14.889,,11.783,31.885,36.315,-4.431,-4.505,-1.239,,82.350,-3.284,73.729
Turkey,24.799,418.236,440.500,,-4.227,-5.018,8.241,6.625,13.709,,83.155,"1,275.658","1,519.668",-244.010,-245.139,-166.839,"1,148.506","1,425.075",8.895,"1,772.232"
Turkmenistan,,504.130,481.163,,-4.928,-4.928,9.198,9.536,,,5.856,20.922,21.470,-0.548,,,,51.899,2.296,120.601
Tuvalu,,162.900,164.937,,,,,,,,0.011,0.080,0.086,-0.006,,-0.007,,0.013,0.006,0.045
Uganda,26.584,177.271,180.150,,6.369,17.687,2.995,2.995,,,39.823,"18,846.773","25,765.284","-6,918.512",,"-3,967.976",,"52,737.158",-2.367,"126,704.000"
Ukraine,12.595,"87,857,948.112","88,625,805.750",,7.152,7.152,6.995,6.995,8.500,,41.733,"1,566.282","1,647.447",-81.165,-71.773,39.612,,"1,989.484",-4.208,"2,609.147"
United Arab Emirates,23.833,278.230,276.405,,-2.452,-2.926,-0.136,-0.976,,,10.749,460.813,472.616,-11.803,,-5.389,,421.801,35.372,"1,486.261"
United Kingdom,17.327,107.819,108.292,,4.627,2.055,5.017,4.978,3.825,32.799,66.797,806.851,855.711,-48.860,-48.639,-18.224,"1,671.235","1,891.789",-113.451,"2,090.632"
United States,21.014,255.651,258.220,2.320,1.080,0.483,-0.118,-0.104,3.667,157.529,328.461,"6,298.418","7,659.277","-1,360.859","-1,453.514",-887.120,"18,014.549","23,293.464",-480.225,"19,091.650"
Uruguay,16.161,197.460,203.020,,-2.336,-4.593,-4.997,-1.390,8.925,,3.519,611.030,670.390,-59.360,-74.069,-10.914,"1,106.821","1,302.356",0.350,712.163
Uzbekistan,39.804,"5,897.814","6,326.649",,24.881,26.236,23.920,26.126,,,33.256,"143,126.070","144,443.310","-1,317.240",,"-1,661.495",,"150,049.525",-3.228,"259,294.012"
Vanuatu,30.973,159.000,161.000,,,,,,,,0.293,45.713,40.766,4.947,,5.952,,48.398,0.122,70.602
Venezuela,,"3,654,129,639.975","10,711,919,274.400",,-32.644,-33.140,-28.869,-31.898,,,27.817,"15,616.769","29,364.241","-13,747.472",,"-13,707.939",,"320,039.192",5.352,--
Vietnam,26.626,273.311,282.198,,4.776,5.094,5.503,5.272,2.210,,96.462,"1,495,841.414","1,747,987.000","-252,145.586","-282,032.435","-144,161.586",,"3,319,306.506",11.261,"4,833,253.118"
West Bank and Gaza,27.063,101.556,101.350,,1.352,1.263,1.749,-0.762,25.350,,4.977,13.802,16.537,-2.735,,,,21.051,-1.834,61.250
Yemen,6.468,"1,205.167","1,210.093",,29.194,34.280,30.289,30.832,,,31.648,"1,074.417","1,745.000",-670.583,,-639.583,"9,560.449","9,647.195",-0.888,232.363
Zambia,42.763,229.951,242.471,,-25.856,-25.856,-12.488,-12.488,,,18.321,61.412,86.765,-25.353,,-4.371,238.096,286.126,0.146,141.702
Zimbabwe,,232.807,534.489,,,24.910,,5.966,,,14.905,23.419,26.047,-2.628,,-1.959,,17.224,0.208,18.559
